Payer_Org,Member_ID,Member_SSN,Name_First,MI,Name_Last,Mother_Maiden_Name,Title,DOB,Gender,Race,Ethnicity,Marital_Status,Relationship,Job,Address_Line_1,Address_Line_2,City,State,Zip_Code,Home_Phone,Work_Phone,Emergency_Phone,Emergency_Contact,Econtact_Relationship,Advance_Directive,Organ_Donor,Other_Health_Ins,HasAllergy,Blood_Type
TRICARE,568001602-01,568-00-1602,Lacy,C,Mcpherson,,Ms.,02/24/1972,female,White,German,Single,Self,Crystallographer,8885 Lindy Lane,,Atlanta,GA,30309,(402) 241-0390,(313) 233-9730,(512) 382-2144,Zephania John Mcfadden,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,937650000-01,937-65-0000,Alexa,G,Craft,,Mrs.,02/07/1973,female,Native American,American Indian,Divorced,Self,Landlord,7370 Castner Lane,,Atlanta,GA,30328,(351) 483-9548,(601) 818-1543,(262) 895-5396,Buffy Eve Rogers,Friend,Life Support,n,no,False,A+
TRICARE,666214171-01,666-21-4171,Ignacia,D,Boyle,,Ms.,07/05/1952,female,White,Greek,Single,Self,Maid,2905 Alissa Circle,,Atlanta,GA,30336,(949) 835-3572,(515) 836-4954,(269) 610-2057,Jonathan Calvin Kelly,Friend,Resuscitation,n,no,False,O+
TRICARE,666383984-01,666-38-3984,Carter,K,Adkins,,Mr.,04/13/1972,male,White,Mexican,Legally Separated,Self,Fortune Teller,559 Hyannis Circle,,Atlanta,GA,30324,(434) 313-2470,(908) 699-0116,(559) 592-1149,Alika Christine Kent,Friend,Intubation,n,no,False,AB+
TRICARE,666643100-01,666-64-3100,Emery,A,Bolton,,Mr.,08/26/1959,male,White,German,Divorced,Self,Negotiator,2931 Becharof Street,,Palmetto,GA,30268,(913) 790-9459,(360) 397-2940,(502) 253-6707,Oren Dillon Cote,Friend,Resuscitation,n,no,False,B+
TRICARE,666159871-01,666-15-9871,Eleanor,L,Flowers,,Ms.,10/04/1972,female,White,Mexican,Single,Self,Actuary,6656 North Frontage Street,,Atlanta,GA,30318,(901) 828-5844,(971) 345-5943,(219) 509-0976,Jenna Dakota Gallagher,Friend,CPR,n,no,False,B+
TRICARE,358020000-01,358-02-0000,Karyn,V,Wiggins,,Ms.,07/03/1974,female,White,Italian,Single,Self,Veterinary Assistant,1702 Kip Court,,Atlanta,GA,30336,(662) 570-9629,(878) 722-9341,(430) 308-8341,Justin Addison Johns,Friend,Antibiotics,n,no,False,B+
TRICARE,666867671-01,666-86-7671,Knox,B,Odom,,Mr.,04/20/1948,male,Black,African American,Single,Self,Librarian,6437 Sitkin Circle,,Atlanta,GA,31150,(734) 627-6513,(563) 641-0977,(763) 752-3694,Logan Garth Weber,Friend,Life Support,n,no,False,A+
TRICARE,666476868-01,666-47-6868,Freya,K,Flowers,,Mrs.,04/02/1969,female,White,Irish,Widowed,Self,Receptionist,1454 Fred Circle,,Atlanta,GA,31197,(772) 427-7410,(409) 249-9984,(308) 417-7250,Kelly Mannix Bowers,Friend,Life Support,n,no,False,A+
TRICARE,918990000-01,918-99-0000,Aidan,C,Walker,,Mr.,08/01/1964,male,White,Colombian,Single,Self,Notary,5994 Captain Cook Drive,,Union City,GA,30291,(517) 632-6393,(910) 314-5114,(940) 255-2810,Constance Genevieve Spencer,Friend,CPR,n,no,False,A+
TRICARE,409000151-01,409-00-0151,Burke,J,Swanson,,Mr.,10/31/1967,male,Black,African American,Legally Separated,Self,Hotel Manager,340 Lesmer Court,,Atlanta,GA,31191,(240) 537-0815,(303) 307-9449,(617) 776-3975,Mufutau Kuame Dillon,Friend,CPR,n,no,False,O+
