Provider_Org,Provider_ID,Provider_NPI,Facility_Name,Specialty,Name,Class,Location,DOB,Sex,Supervision_Required,Person_ID,Primary_Clinic_Location
ExactData Medical Health System,663746638,2531462832,,FAMILY PRACTICE/PRIMARY CARE,"Athena V Morris, MD",PHYSICIAN,Sidney Hillman Health Center,03/05/1964,female,no,666823020,Sidney Hillman Health Center
ExactData Medical Health System,523808810,1380097962,,,"Shelley A Lawson, RPh",PHARMACIST,Corner Drug Store,07/10/1972,female,no,059005503,Corner Drug Store
ExactData Medical Health System,695700114,1261075194,,,Aquila F Whitney,LAB TECH,Wood Diagnostic Labs,11/18/1950,male,no,435001568,Wood Diagnostic Labs
ExactData Medical Health System,581395544,2463742680,,EMERGENCY MEDICINE,"Indira T Contreras, PA-C",PHYSICIAN ASSISTANT,Family Health,08/13/1975,female,no,000670906,Family Health
ExactData Medical Health System,135055397,1032122911,,FAMILY PRACTICE/PRIMARY CARE,"Seth C Berry, PA-C",PHYSICIAN ASSISTANT,Advocate Medical Group,10/26/1964,male,no,666977122,Advocate Medical Group
ExactData Medical Health System,125920412,2281680666,,,"Abel B Nieves, RPh",PHARMACIST,Wegmans,01/14/1948,male,no,889640000,Wegmans
ExactData Medical Health System,496219419,2982692887,,,Colleen J Robles,LAB TECH,Sacks Health,07/31/1971,female,no,395009622,Sacks Health
ExactData Medical Health System,507463451,2859431815,,ONCOLOGY,"Sean E Deleon, MD",PHYSICIAN,Horizon Oncology,06/30/1963,male,no,538008026,Horizon Oncology
ExactData Medical Health System,751944093,2682043712,,FAMILY PRACTICE/PRIMARY CARE,"Kennedy H Huffman, PA-C",PHYSICIAN ASSISTANT,Heartland Community Health Clinic,12/08/1972,male,no,666499493,Heartland Community Health Clinic
ExactData Medical Health System,935896084,2483415481,,PULMONARY DISEASE,"Patricia H Mcclure, MD",PHYSICIAN,Community Health Clinic,04/17/1977,female,no,666072509,Community Health Clinic
ExactData Medical Health System,381663534,1141909364,,,"Bree D Garner, RPh",PHARMACIST,Apothecary Shop,06/23/1943,female,no,000954701,Apothecary Shop
ExactData Medical Health System,386800948,2266801030,,SURGERY,"Dominic K Mcmillan, MD",PHYSICIAN,Scripps Green Hospital,06/24/1944,male,no,000046740,Scripps Green Hospital
ExactData Medical Health System,992256145,2842481299,,ONCOLOGY,"Thomas R Massey, PA-C",PHYSICIAN ASSISTANT,Oncology Associates,02/11/1948,male,no,000996014,Oncology Associates
ExactData Medical Health System,633928337,1406501146,,OTORHINOLARYNGOLOGY,"Germaine T Hoffman, MD",PHYSICIAN,"Ear, Nose and Throat Center",06/07/1950,female,no,840910000,"Ear, Nose and Throat Center"
ExactData Medical Health System,734064671,1684152075,,,Zahir D Mcintosh,LAB TECH,Darwin Diagnostic Services,07/29/1962,male,no,387280000,Darwin Diagnostic Services
ExactData Medical Health System,433468928,2357761028,,FAMILY PRACTICE/PRIMARY CARE,"Eleanor J Compton, MD",PHYSICIAN,Ulnacs Medical Care GO Okoji MD,07/01/1956,female,no,666573756,Ulnacs Medical Care GO Okoji MD
ExactData Medical Health System,152383446,2787028733,,,"Mona D Kaufman, RPh",PHARMACIST,Corner Drug Store,08/26/1947,female,no,901003347,Corner Drug Store
ExactData Medical Health System,818906418,1834683540,,,Adara J Albert,LAB TECH,United Memorial Medical Center,02/08/1962,female,no,000647036,United Memorial Medical Center
ExactData Medical Health System,896475100,2605265228,,ONCOLOGY,"Cherokee M Conway, PA-C",PHYSICIAN ASSISTANT,Oncology Associates,01/19/1966,female,no,000545467,Oncology Associates
ExactData Medical Health System,654906982,1039300528,,ENDOCRINOLOGY,"Alfreda P Ramsey, MD",PHYSICIAN,University Diabetes Care,08/26/1947,female,no,460390000,University Diabetes Care
ExactData Medical Health System,710616206,2598121131,,FAMILY PRACTICE/PRIMARY CARE,"Breanna J Ellison, NP",NURSE PRACTITIONER,Partners in Primary Care,10/05/1979,female,no,239001492,Partners in Primary Care
ExactData Medical Health System,630366843,1260982788,,,"Camille K William, RPh",PHARMACIST,Imperial Drug Store,04/15/1966,female,no,000097040,Imperial Drug Store
ExactData Medical Health System,212943821,2000373411,,,Justin Z Campbell,LAB TECH,Drew Medical Labs,06/23/1977,male,no,413007690,Drew Medical Labs
ExactData Medical Health System,225780877,2065985901,,ONCOLOGY,"Timon K Perry, PA-C",PHYSICIAN ASSISTANT,Wellness Center Treament Center,03/04/1971,male,no,000014650,Wellness Center Treament Center
