Provider_Org,Member_SSN,MRN,Name,Address_Line_1,Address_Line_2,City,State,Zip_Code,Home_Phone,Organ_Donor
ExactData Medical Health System,568-00-1602,1060083004,Lacy Courtney Mcpherson,8885 Lindy Lane,,Atlanta,GA,30309,(402) 241-0390,n
ExactData Medical Health System,937-65-0000,8618392998,Alexa Georgia Craft,7370 Castner Lane,,Atlanta,GA,30328,(351) 483-9548,n
ExactData Medical Health System,666-21-4171,4437715743,Ignacia Donna Boyle,2905 Alissa Circle,,Atlanta,GA,30336,(949) 835-3572,n
ExactData Medical Health System,666-38-3984,6961496757,Carter Kareem Adkins,559 Hyannis Circle,,Atlanta,GA,30324,(434) 313-2470,n
ExactData Medical Health System,666-64-3100,6906482197,Emery Amir Bolton,2931 Becharof Street,,Palmetto,GA,30268,(913) 790-9459,n
ExactData Medical Health System,666-15-9871,1446342286,Eleanor Lysandra Flowers,6656 North Frontage Street,,Atlanta,GA,30318,(901) 828-5844,n
ExactData Medical Health System,358-02-0000,6847942718,Karyn Veda Wiggins,1702 Kip Court,,Atlanta,GA,30336,(662) 570-9629,n
ExactData Medical Health System,666-86-7671,3233456192,Knox Brady Odom,6437 Sitkin Circle,,Atlanta,GA,31150,(734) 627-6513,n
ExactData Medical Health System,666-47-6868,3654887994,Freya Kaye Flowers,1454 Fred Circle,,Atlanta,GA,31197,(772) 427-7410,n
ExactData Medical Health System,918-99-0000,5341454333,Aidan Charles Walker,5994 Captain Cook Drive,,Union City,GA,30291,(517) 632-6393,n
ExactData Medical Health System,409-00-0151,9353126921,Burke Joseph Swanson,340 Lesmer Court,,Atlanta,GA,31191,(240) 537-0815,n
ExactData Medical Health System,090-45-0000,6699016700,Clinton Valentine Franklin,3129 Chilkat Court,,Atlanta,GA,30388,(309) 758-8613,n
ExactData Medical Health System,764-85-0000,6510680710,Alma Althea Holloway,6832 West Hoteco Avenue,,Atlanta,GA,30323,(805) 509-0517,n
ExactData Medical Health System,052-00-0568,1651920751,Nicholas Yuli Holloway,6832 West Hoteco Avenue,,Atlanta,GA,30323,(805) 509-0517,n
ExactData Medical Health System,333-00-1307,1454739704,Amery William Mcdowell,614284 Young Drive,,Atlanta,GA,30398,(567) 335-8323,n
ExactData Medical Health System,000-05-0471,4457980703,Blaine Nicholas Bradley,6187 Posiedon Drive,,Atlanta,GA,30326,(989) 516-1896,n
ExactData Medical Health System,882-00-3310,1341340123,Quintessa Ria Williamson,6528 East 94th Court,,Atlanta,GA,31191,(302) 282-3135,n
ExactData Medical Health System,000-38-2751,9094589736,Lars Ezra Harper,6909 Dover Avenue,,Atlanta,GA,31191,(678) 635-8670,n
ExactData Medical Health System,666-88-8721,6580369792,Chastity Tatiana Hinton,5896 Sprint Circle,,Atlanta,GA,30349,(208) 735-5966,n
ExactData Medical Health System,666-95-3642,2088945279,Akeem Castor Hinton,5896 Sprint Circle,,Atlanta,GA,30349,(208) 735-5966,n
ExactData Medical Health System,000-13-8144,9722280039,Shelley Elizabeth Curry,4737 South View Drive,,Atlanta,GA,31106,(870) 488-1553,n
ExactData Medical Health System,894-01-0000,7522907600,Solomon Castor Page,370 Zermatt Avenue,,Atlanta,GA,30308,(978) 838-9278,n
ExactData Medical Health System,666-31-7375,4703332448,Nita Jeanette Bell,3433 Wildwater Circle,,Red Oak,GA,30272,(210) 234-9203,n
ExactData Medical Health System,000-36-7227,5836343940,John Walker Robinson,1282 Wranglers Way,,Atlanta,GA,30367,(586) 360-8276,n
ExactData Medical Health System,771-13-0000,7680728253,Indigo Kirsten Moses,1622 Glacier Terrace Trailer Court,,Alpharetta,GA,30022,(201) 404-8454,n
ExactData Medical Health System,000-45-7683,3967544837,Victor Kane Gomez,5640 Tedrow Drive,,Atlanta,GA,31195,(508) 763-0979,n
